cif,sgnum
1520657,4
7011928,2
7028419,2
7214416,2
4102521,2
2221948,4
4023620,4
4025135,4
2241482,14
1503539,4
2206248,2
4021798,9
4026305,4
4506395,2
4112660,1
1515092,14
2204051,2
4082343,2
4020289,4
4028332,2
2211065,14
4021938,2
4000324,2
2218382,4
1506513,19
2215598,14
4076915,2
4103236,2
1504203,14
7207715,14
7106654,2
1512132,14
4115181,2
4022660,4
7019821,1
2228413,14
4029269,1
2215299,14
4021764,19
7151942,2
2213716,2
7153729,4
2227104,2
2221147,13
4082203,2
4023884,14
4512767,2
4101867,1
2214808,2
2208541,14
4312373,15
2002929,2
7150868,2
4025036,2
2214223,2
2100566,2
2206720,2
7215842,2
2230959,4
1512335,11
4082971,2
2216200,2
2004081,14
4024100,4
4022661,4
4029105,2
2013587,2
2206177,29
1503365,19
2215558,14
4071094,2
7150944,2
7203855,19
1516196,14
4028454,2
7117123,2
4028463,15
4503780,14
4500319,2
4027394,2
4069534,2
7214359,14
2100663,14
4107009,4
4116145,14
2210903,14
2239897,14
2100436,14
2206415,2
7005968,2
2005229,2
4507722,14
2201115,2
2003051,4
7054472,4
7220372,1
4065195,2
2202232,2
2220267,14
7150172,1
7152685,2
2215126,2
4085827,2
4020060,2
7110944,13
2235657,2
4504913,14
4027153,2
4115853,14
2200666,19
7151166,4
2104821,2
7152708,4
4064611,2
4505174,5
7225379,62
7225355,2
7151619,4
4075714,2
1506103,2
7115909,14
2007132,14
4027065,2
1503134,2
7225364,14
4067296,14
7213760,2
2202320,2
7117512,14
1513913,2
4024901,2
7204425,14
2201726,2
4028302,4
4331494,33
7050959,14
2202327,19
4025913,2
2000627,19
7012290,14
7151817,2
1504608,2
7038634,14
4023779,14
4507809,4
4508707,2
7106263,19
2006099,1
4026907,2
2101567,2
2019244,4
1504301,2
7212661,2
2213841,14
4103910,14
4082318,2
7103405,14
2007892,14
2204027,14
4025223,4
2211920,14
4025265,4
4504009,14
2234419,2
4122566,4
7152404,4
4031528,2
1519553,14
1513142,4
1505063,2
2004087,62
2013366,1
2200100,14
4021366,2
2232859,2
7053225,14
7220307,4
4030977,4
1534110,4
4030117,4
4072533,4
7204911,4
2203578,14
4343391,2
2000855,1
7209109,2
1518483,2
2106978,9
4024926,4
2227777,14
7112256,4
2204784,4
2104253,1
7150836,14
2217913,2
2013627,2
2105247,4
7152793,4
2212787,14
1504311,19
7033079,2
2219261,19
7225612,14
2200139,2
2223983,14
1505320,2
4081211,2
7007919,2
4082717,2
7009315,4
2100167,14
1506344,4
4077326,4
2000561,4
7050108,2
7050082,19
4116117,2
2219119,2
7223229,2
4060679,7
7153625,14
2234572,14
4501732,14
4020834,4
7020308,4
4509238,14
1520258,2
2008567,9
7153259,4
2211755,15
2220269,14
2006955,14
2219469,2
1503773,2
8102847,2
2207033,14
2015207,14
2220694,2
2239748,14
1516355,18
2002067,2
2221885,2
4117079,2
7050364,2
4085077,14
2236768,14
1504971,2
2206057,4
8103158,2
4022555,2
4102576,2
4063516,1
4504545,2
4504534,2
4027135,14
4030670,2
7208094,4
7153465,78
7104407,14
1504038,1
2234595,7
2240908,29
7209640,14
2226437,2
7203856,2
4119385,4
4066593,2
2218663,14
7212865,2
1504764,2
2241592,4
2007772,4
4027266,4
2018172,14
2235045,14
4025410,56
7208663,19
2203246,2
2019006,4
1505243,14
2234003,2
2015856,14
4080636,1
1515155,2
1506921,4
7205283,14
2232830,9
2241252,2
2201624,14
4123800,2
2231560,2
1505524,2
1508338,14
4022006,2
4102834,2
7152454,4
2104978,2
4313817,11
4060087,2
4512786,2
4020092,14
7150546,2
2222846,11
7000351,2
2100743,14
4124258,4
7112220,15
7051298,14
2102626,14
2209286,14
7219101,19
7005099,2
4026515,4
1503909,14
4021739,2
4029344,2
4110685,14
8102021,2
9011439,113
4505088,14
2206486,4
4509059,2
2215229,14
2100437,14
5000142,19
1503238,2
2105151,33
2218515,14
2230084,19
2226928,14
4027231,14
4022948,4
2234380,4
7152806,4
7030359,2
7200616,19
4024240,2
4024247,2
2005863,4
1505502,4
1503931,2
4083423,2
4069559,2
4072877,2
4025970,2
1100682,19
4027444,2
1529858,2
2310002,14
7224824,33
4111681,4
7202563,2
4071453,2
4029445,19
1505244,14
4081633,2
7215745,14
2207041,2
1505896,4
1502507,4
7025746,2
7215303,14
2222080,14
4070458,33
7150400,2
7111467,2
4026094,7
2207220,2
9011437,113
4021047,14
4029430,2
7153597,2
7153796,19
4029678,2
1502916,14
2201537,14
7154016,14
4066106,14
2015984,2
2219876,2
1505112,2
2233171,14
2222967,14
7151195,2
2240228,2
2238697,14
4068003,2
4025987,14
1513395,12
7153549,2
7051203,14
2227174,14
2241123,2
4110633,4
4026508,19
4118181,1
1505375,2
4086228,2
4503975,14
1513375,4
7101743,2
1502042,2
4070211,2
7208260,2
7221751,4
4025316,2
4113414,2
4024689,2
2241291,2
4105249,14
4027293,2
7200794,1
7154477,2
2237434,14
7208902,2
7214137,14
4029726,7
9014545,14
4027232,2
8100099,2
2006944,4
2233839,11
2233602,4
1511807,14
7155129,19
7155068,2
7153454,4
7206494,2
2016425,2
2010815,2
4501703,14
4025432,2
2101042,2
7215125,14
4021179,14
1502368,2
1542632,4
4504452,14
1517915,14
4031067,4
4080993,2
4074204,2
2211378,4
1543156,2
4028684,4
4069718,14
1504690,4
4030849,4
4082517,2
7153386,14
4509404,2
4340659,2
4024276,14
8103191,2
4064949,4
2010884,2
7054445,2
2013217,14
7154943,14
1512252,14
4030080,2
7220305,14
7105056,2
2230716,2
4507331,14
2014395,14
4506069,2
7150079,33
7153779,4
2201378,14
4309854,2
2235556,14
1507077,2
2014254,9
4107019,4
7202566,2
2236201,14
7211045,14
4070350,2
7225352,14
4028732,14
2224506,2
4021340,2
7115039,14
7206638,18
4026056,1
2103126,1
4077605,2
7050809,2
1542954,2
1515156,14
2200328,14
7212211,14
4329114,14
2240717,2
7114329,4
2005449,14
2102695,14
2207689,14
4073322,2
4066089,2
2105859,19
4081497,2
1513489,2
4069690,2
4101891,2
7116895,2
2234886,4
7218936,14
2234057,4
7150844,2
2300241,14
4029898,14
4025570,2
1520199,14
7154226,2
7203059,4
7100462,2
1507386,4
2220965,2
2003630,4
1507178,4
7018857,15
4062949,14
4023812,2
8100400,13
7101242,2
1504384,36
4106854,4
2213063,2
4026262,29
4505868,2
4100438,19
2222637,14
4071700,2
2222683,14
2011603,2
8101081,2
4116821,14
2000903,14
2230585,2
2232661,2
2202873,4
2239390,2
4071488,2
2227026,14
4113699,2
7106432,19
7153351,2
1504445,4
4506396,2
4108419,4
4023523,2
4026341,2
4063770,14
4063603,2
2103832,2
7011352,14
4513611,4
4073556,2
4028054,4
7053850,2
4028836,1
4333484,14
4027334,19
4060607,2
2017072,4
4119103,2
2004202,19
4108090,2
7151325,4
2200605,2
7100433,2
4022724,4
1504645,2
4112697,4
2017122,14
2213936,19
2210004,2
2223988,2
4081899,4
4029295,4
4501678,14
4026482,2
2015580,14
2006263,2
4021927,2
4074045,2
8102844,14
1507440,14
4029363,4
7024388,2
2003281,2
4021495,4
5000191,4
7220007,2
4067226,62
7152703,4
1513400,2
4031290,2
7151888,14
2205877,2
2017135,14
4022614,4
4020581,33
4116621,2
2215753,4
2222867,14
4024592,4
4117251,2
1506507,2
2205433,4
7206748,1
4020632,2
4500721,14
2011797,14
7012289,14
2225751,2
7150831,14
2240997,14
4022267,2
4504328,2
2209540,2
2017944,9
4066732,2
2230179,4
2105032,2
2227434,14
7117022,2
2229648,14
7154324,2
2007227,11
2222171,2
2212018,14
4025893,2
7218482,2
4020099,2
4024122,11
2205281,14
4077655,2
4307000,2
1517395,2
4026872,2
4507992,2
2003309,14
2237739,2
2101354,2
4083238,2
7151754,14
7150471,14
2229818,14
2234363,2
1542835,14
2220430,2
7153973,4
2224153,2
2237041,14
4028964,1
2223086,13
2224125,14
4065714,2
4023784,2
7050550,14
4029817,2
2228933,9
2218571,2
7115126,2
4026916,2
2218763,14
2223859,19
7207070,14
4029767,2
7036826,167
4067799,2
7053976,14
7152368,4
7219158,18
7218925,2
7222828,14
2012154,19
2208852,18
4027869,14
2209339,2
4023246,4
2103076,14
4112264,2
2104248,4
4066997,2
2223098,14
7221753,4
4508441,15
2233188,14
4103568,2
2006959,14
1502449,19
2101617,14
4313612,14
2000243,2
4063746,2
4321693,11
2215204,4
4107555,4
7152077,4
2221937,14
4082557,14
2017253,1
2002939,2
4511391,1
2237566,19
7150808,2
2200308,19
4024335,4
2206710,14
2235589,2
4104164,2
2203634,4
2229565,2
2005161,2
2104562,2
4024836,14
2218365,4
4026871,2
7223350,14
2241433,2
7154447,14
1511956,4
4031289,14
4030544,4
2225076,1
7152181,2
7053277,14
1502816,14
7217236,2
4109285,2
7204440,2
2016577,14
2231708,14
2205677,14
7115352,14
2018824,14
1520354,2
4022865,14
4500492,2
2013297,2
2239142,33
2208519,4
2203985,2
4027703,5
2201181,14
2223289,2
2222814,2
4075239,2
7150031,4
2219891,14
2202051,19
1516653,4
1542317,2
4504008,14
7226610,14
1503559,4
4020081,4
2203609,14
4025653,33
4060781,14
2214477,14
4080018,4
4020365,4
4325055,2
7200614,2
2205365,2
1501908,2
4022363,62
4323794,2
2231507,2
1514814,2
4064264,14
7223939,19
4500722,14
7154492,19
4112256,14
1506228,2
2234904,14
7003812,2
1508367,2
7153463,4
4030969,2
2202921,19
7155109,2
4028466,14
1534665,19
2239050,2
9007681,2
7152395,33
2020536,2
7207572,14
2221515,14
4063037,2
1505843,4
1502231,4
2007394,33
8102175,4
2016140,14
7204423,4
4024036,14
1519494,2
4510651,2
7152413,1
7105557,19
1505462,4
7200969,14
7152908,2
4310245,2
2228714,2
2238260,14
7224794,2
4116458,2
4028376,2
7211930,14
7007104,14
7213267,2
7150063,2
4116463,14
7207488,14
2241818,2
1512346,4
7217713,14
2006330,2
7109154,14
7224941,2
4084128,19
7208039,2
4075122,2
1542706,14
1520683,4
4069742,2
4021836,1
4024539,14
4025513,4
4072265,11
5000182,4
2232417,2
2225045,2
2230396,2
1512296,2
2300232,14
1506154,4
1507057,29
4116149,2
2217394,2
9012797,14
7154021,2
4020592,61
4031858,19
2233533,14
7224888,19
2211775,14
7008552,2
2212192,14
1503663,2
4077285,2
2204129,2
2100234,2
7150257,33
2233897,14
4110268,2
7203263,18
1506860,14
4512455,4
4022191,2
1508280,2
7105277,2
7150166,2
4025185,7
2017530,2
2200427,14
1512031,4
4075590,2
4023020,4
2235905,7
4020296,4
2006022,4
2231047,2
4111529,4
4071388,2
7150524,14
1519797,14
2201414,2
1506012,2
2016105,4
7219566,14
1515087,14
7150090,19
4060135,14
7038684,2
2230644,14
4021466,14
7151702,9
4078359,2
2231352,2
4029682,4
2015917,2
4060532,18
1503532,4
4025676,4
8100693,2
2218301,14
4023614,2
2223156,2
2000932,14
7001855,2
2225732,14
4507156,2
7103266,4
2234113,2
4031946,15
2212109,7
2236204,14
4116462,2
7053270,14
4080895,13
2200756,2
4024017,2
7219062,2
8101122,2
2203826,4
4507314,14
2011551,2
4030548,2
1516115,4
1503756,2
7212565,7
1543489,2
4023247,19
2219461,7
7206679,2
2212288,4
4025406,19
2105534,14
2105590,15
7151786,4
7207150,2
4070371,9
7216870,2
2009343,1
4061529,4
7222971,2
4508872,2
2102855,4
4505684,14
4085930,14
4067963,2
4102603,2
4320365,2
2229099,14
8102880,2
4122317,4
2208671,14
4330768,2
2104166,61
4102501,4
7150251,2
1503912,2
7151466,14
4068610,2
4024903,2
2205520,14
1518569,2
7212567,4
1514242,14
2231915,4
7154792,4
4064311,2
4020749,19
2240611,2
7106434,19
7052337,2
2215609,14
4080687,2
4079343,2
2311082,14
4324970,14
4500590,14
4501864,5
7153258,2
4030891,4
4319941,2
4021413,2
4082397,2
1504473,4
1506275,14
2217222,14
2208283,2
7155144,2
4066857,2
1518200,2
2200537,14
2232607,7
4026096,2
2233773,2
4060559,4
2227612,2
4507097,2
8000109,14
4026502,4
4026608,2
7154451,2
4027757,2
2219096,33
1544223,113
4068705,2
4024619,4
4118783,4
2004468,14
2226234,14
2237462,9
4061446,2
4508135,2
2236406,2
4064837,2
7103471,4
2206619,5
2100766,14
4027426,14
4061187,2
2218288,2
7054724,4
1504492,2
4064573,2
2223214,2
1506010,2
7150667,14
4024080,2
4029638,2
2213496,14
1512028,19
2232369,14
4027283,4
2214231,14
4512768,2
7224989,14
1506694,2
2009680,4
7217317,2
1516387,14
2235205,2
7113959,2
2209401,14
4029864,2
2219818,14
2101361,82
7154263,1
7225718,2
8102429,14
7112583,14
8000130,4
2200606,14
7212002,14
4501922,2
4081326,31
4062611,14
1504907,2
2228774,2
1507597,19
2206637,2
4508003,14
2013049,4
4027284,4
1520519,19
7052840,14
4025243,14
2201939,19
7028421,15
2007994,14
1511812,14
1501687,11
7153202,14
7219671,2
2012995,4
4067644,2
4508011,14
7039323,2
8103248,29
7216707,2
4031018,4
4020878,2
1514536,1
7225590,2
7154296,1
1502755,2
1511767,1
4031081,14
2224647,4
4022183,2
4513742,7
2238737,14
1519903,14
7203648,2
4029245,4
4027276,14
2100457,15
4123798,4
1502523,4
2220032,14
2203659,14
4332496,2
2100348,61
2219664,2
4072008,2
7051576,2
1503556,2
1503911,14
7014891,2
4076128,14
2015964,19
2203048,2
7205564,14
4080421,4
1519973,4
7219105,62
4022522,14
2003232,2
7154942,14
2201542,14
7051205,2
4063738,14
7151554,2
4025836,2
2100242,19
2103718,2
4026037,14
7202103,14
2217418,61
1542836,2
7052108,2
4327267,4
1518504,13
2204176,4
2241359,2
2202407,19
2015268,2
2216419,7
2014177,4
4020911,14
7055127,2
4078193,2
1505396,4
1507017,2
4022690,33
2300042,14
7201787,14
2017862,2
7109311,14
4513112,14
7028296,14
7152950,2
4121018,14
4303644,14
7226279,2
9014680,2
4024131,14
2220499,4
4079588,2
2202514,4
1501840,14
1505254,33
4001177,2
2210111,2
4507573,14
2310004,14
1542267,19
4084244,2
4110934,2
2205247,2
2210791,14
4075002,4
1529847,4
1542890,2
7224800,2
4029424,2
2209954,4
2020281,2
7112995,1
2234553,14
4123713,4
4029939,2
2241504,14
7101829,2
2228255,2
4077167,14
2235907,2
2227006,7
2227448,2
2207174,4
4020475,4
2207935,2
7150907,2
2238965,2
2219093,19
7208901,14
7050567,2
7152872,1
7150549,4
2220762,14
7151559,4
4508025,14
4504589,14
7108796,2
4117196,4
4301456,4
1505297,14
1542607,2
2101112,4
7150423,14
4504084,2
1507264,4
7214491,14
1504681,14
2225291,2
2004334,14
7151167,4
1512225,2
7151750,2
4344172,14
1506218,14
4025897,14
7223221,2
7153881,4
2104837,2
2010271,33
2224206,2
7223417,2
4505771,2
2206842,4
4079426,2
1508340,2
2009119,4
4029820,2
7153000,2
2209012,2
4020222,19
4024024,2
1504863,18
1540021,14
4501650,2
1507476,2
2208211,14
7109422,2
4064471,2
1516087,14
7150586,14
4101208,4
1511972,2
2204462,14
1513591,2
2007240,14
2230839,2
4506958,2
7154627,33
2103897,2
2003112,113
2100177,2
1542454,11
4505018,2
2007062,2
2009695,4
4023320,14
4104878,14
7151742,19
7218924,2
2200041,4
7205616,2
2236039,2
7151226,4
7152021,14
7150918,2
7151237,4
2227938,14
4027168,4
4502684,2
4078537,2
2001243,2
7221141,14
2220442,14
7150537,2
4031848,2
4020341,9
7213019,14
4101230,2
2001187,2
2015025,4
1506494,14
7218087,2
8101781,4
2014575,14
4122844,2
2001789,4
1513536,4
4022990,19
4121699,2
1515707,2
4028347,4
7109239,14
1505620,14
4121986,4
4061028,2
2203452,14
2240991,2
4084172,2
2239311,4
7150420,1
4313411,2
2013516,2
4020526,2
2225449,19
4028221,4
2018558,14
1502472,4
4103759,2
2102180,2
4020629,2
4080612,2
1542703,2
7152101,14
2233170,14
7207803,2
2203360,14
4027132,2
2100178,2
4502681,2
4325060,2
2200616,62
2104410,19
4064074,2
1504378,62
1502933,2
8100545,4
2212686,19
2212429,4
4067610,2
2224521,14
4023378,2
7015028,14
4123678,2
7224728,2
4028372,2
2220615,2
4021609,4
2236488,4
7225636,2
7152168,4
7224883,19
2218346,2
7213321,2
4065355,2
4024574,4
1503589,2
2104607,4
1504351,62
1501688,11
7151283,4
7103920,14
4029896,2
2202276,4
1503982,19
4025692,77
1529260,2
2204769,14
4104524,2
7226438,2
8102132,2
7052023,2
4030655,7
1505894,4
8000010,2
7214434,2
7202788,1
7154971,7
4028465,14
2015945,19
4020987,14
4022038,4
7215749,2
7200225,14
2100836,2
7150128,1
7005528,2
7112509,2
2218876,2
1517162,14
7226512,2
7150807,4
1508434,2
2233821,4
1503768,19
4123507,4
4082788,14
7152751,2
4023450,2
4031532,2
4121655,2
7206737,4
2226213,19
4025617,2
7019106,2
4073113,2
2211746,13
2218770,14
2240173,2
7205765,2
4072923,2
2001657,4
2238233,2
7151687,4
7100406,2
4020683,4
7006324,2
4068596,2
7214735,2
2223524,14
8102456,14
1505830,2
4063561,2
1507075,2
1529306,4
4061688,14
2225863,4
4028583,2
4065117,14
2222571,14
7034471,14
4108657,2
7155005,2
4028812,14
2105571,14
7206868,14
8102335,14
4120169,4
4060240,2
4072291,14
4111748,4
1506469,2
7053193,1
7105526,2
2220255,2
7202463,2
7000101,33
4510383,4
7150068,4
7225634,2
4026796,2
2004281,7
2208308,2
1502560,2
2000102,4
7154717,2
7205402,62
7154811,4
2011526,14
4060920,2
7053637,14
1504486,2
7202391,14
4110073,2
4025034,2
4507987,14
7115466,29
7151861,4
7210160,4
4025806,2
2001552,14
2241309,15
4124208,14
2000375,4
2203449,2
7206390,2
7153052,14
2103895,2
7151708,4
2225048,4
2201187,4
7051334,14
7154217,2
2215635,1
1502303,2
7214489,14
7152138,14
4323279,2
1502269,2
2220697,2
1507737,2
1518350,2
4340822,2
8102458,14
4070048,4
2226346,2
1516262,2
7151180,14
4027056,4
7151265,1
2230621,14
2218388,19
4025174,14
7053686,2
7154683,14
4029657,2
2012025,2
4069722,2
7208833,14
4068633,2
4085510,14
4029170,4
7151610,4
4023858,2
7150671,14
5000008,4
2006341,4
4063464,4
2006085,14
4071850,2
1503055,14
7153517,19
4028070,4
4342363,33
7053722,7
7151304,1
4105814,2
7216877,4
4023601,2
4503998,14
4021210,9
2224437,2
2201222,7
4025659,14
7001879,2
2009039,2
2105143,33
2218181,14
2102126,12
4024607,4
2225528,14
2233167,2
4025754,2
4303544,4
4070475,1
2103892,2
4023009,4
7050548,15
2224010,4
1504985,2
1507537,19
7001850,14
4079862,2
4030563,2
4117743,4
1511901,4
2204577,2
4065442,14
7110128,33
4072475,2
4025734,2
4072305,2
5900032,61
7002493,2
2008782,14
2237704,2
4082103,2
4023739,14
4024858,14
2213008,4
2216467,2
2008363,2
7152013,4
7054254,14
1503668,4
4109083,4
7103193,57
4513964,2
1512054,19
2010722,4
2234822,2
4029527,2
2010683,37
7010759,2
7024341,14
7111135,2
2013508,14
4065151,14
2006698,14
2223579,14
2229717,14
2205134,4
4508106,14
8102357,14
